iter	Logloss
0	0.6282820111
1	0.5817066687
2	0.5412853539
3	0.5149508363
4	0.4915651338
5	0.4814939464
6	0.4627168714
7	0.4470858469
8	0.4389906181
9	0.4298863919
10	0.4231020681
11	0.4144403217
12	0.407146157
13	0.3999760207
14	0.3966780418
15	0.3911177094
16	0.3883670077
17	0.3825901747
18	0.3799793124
19	0.3773572565
20	0.3738965916
21	0.3721155271
22	0.3704352674
23	0.3683646496
24	0.3661474886
25	0.3639255853
26	0.361305454
27	0.3605889794
28	0.3596241514
29	0.3592997367
30	0.3582554502
31	0.3562326965
32	0.3539103544
33	0.3528887979
34	0.3508994405
35	0.3487413582
36	0.3471452483
37	0.3469742471
38	0.3450788101
39	0.3431193113
40	0.3421138522
41	0.3403769425
42	0.3382678042
43	0.3373105716
44	0.3362008761
45	0.3357373299
46	0.334933318
47	0.3330477167
48	0.3324171168
49	0.3314155468
50	0.3308243774
51	0.3295555349
52	0.3285997395
53	0.3275399138
54	0.3269060441
55	0.32635151
56	0.3245790348
57	0.3226576125
58	0.3209353562
59	0.319312553
60	0.3176330877
61	0.3170637931
62	0.3156233619
63	0.3145453415
64	0.3134596775
65	0.3125219307
66	0.30992898
67	0.3085945915
68	0.3081056941
69	0.3071875029
70	0.3059730522
71	0.3031865783
72	0.3025780019
73	0.3014515905
74	0.3005886518
75	0.2997880281
76	0.2983027534
77	0.2967468319
78	0.2961614035
79	0.2946084782
80	0.2938665522
81	0.2931642464
82	0.2926136017
83	0.291523189
84	0.2901291256
85	0.289570953
86	0.287900287
87	0.2872085624
88	0.2857730756
89	0.2847098323
90	0.2823397083
91	0.2814329523
92	0.2791345943
93	0.2778932642
94	0.2769097079
95	0.276232371
96	0.2728596934
97	0.2700094046
98	0.269229296
99	0.2682798341
100	0.2669516026
101	0.2657960166
102	0.2648930348
103	0.2641387754
104	0.2634030904
105	0.2621004104
106	0.2615512999
107	0.2607132926
108	0.2591251091
109	0.2584699686
110	0.2561282505
111	0.2556966199
112	0.2549128389
113	0.2540628052
114	0.2530076677
115	0.2522837894
116	0.2507648744
117	0.2498026748
118	0.24917976
119	0.2482505846
120	0.2472369296
121	0.2455196408
122	0.2441312734
123	0.2434305464
124	0.2419328866
125	0.2405976472
126	0.2402375167
127	0.2387577113
128	0.2377669781
129	0.236329336
130	0.2346936455
131	0.2337148639
132	0.2329509293
133	0.2318845156
134	0.2308143711
135	0.2298573134
136	0.2284888218
137	0.2278686514
138	0.2262298815
139	0.2257876044
140	0.2252427986
141	0.2249605031
142	0.2239501486
143	0.2230632155
144	0.2228037345
145	0.2218778497
146	0.2209791624
147	0.2202879608
148	0.2194113701
149	0.2185386202
150	0.2177534351
151	0.2174339265
152	0.216372306
153	0.2159455004
154	0.2152256621
155	0.2145397539
156	0.2142989975
157	0.2138425867
158	0.2129824333
159	0.2122406314
160	0.2117287953
161	0.210952754
162	0.2102903774
163	0.2092647074
164	0.2086816788
165	0.2080113525
166	0.2075391246
167	0.2067636154
168	0.2058108657
169	0.2051138299
170	0.2047638275
171	0.2038681367
172	0.2036749724
173	0.2025199539
174	0.2011677825
175	0.2004058876
176	0.1990136716
177	0.1983588526
178	0.197270042
179	0.1963065911
180	0.1950718229
181	0.1945073325
182	0.1938536416
183	0.1932213866
184	0.1924356207
185	0.1918471544
186	0.1912120576
187	0.1904442206
188	0.18976462
189	0.1894211573
190	0.1886424123
191	0.1878838526
192	0.1864734206
193	0.1857408921
194	0.1851050482
195	0.1842792132
196	0.1838562668
197	0.1830729516
198	0.1818880058
199	0.1815198556
200	0.1812700846
201	0.1805318847
202	0.1802225108
203	0.1796392289
204	0.1790145765
205	0.1783426243
206	0.178083621
207	0.1767555234
208	0.1766063906
209	0.1763530104
210	0.1761366971
211	0.1755261832
212	0.1746274511
213	0.1744306081
214	0.1735666834
215	0.1730127213
216	0.1722227171
217	0.1713289118
218	0.1703641269
219	0.1698337543
220	0.1696099241
221	0.1694190977
222	0.1688586508
223	0.1682871319
224	0.1674074685
225	0.1666215902
226	0.1660394367
227	0.1657492748
228	0.1652103478
229	0.1647660924
230	0.1641783264
231	0.1637556269
232	0.163466386
233	0.1633126831
234	0.1628729357
235	0.1619711013
236	0.1616643967
237	0.1612334084
238	0.1606042412
239	0.1599531824
240	0.1596196353
241	0.1590135147
242	0.1586052083
243	0.1583686631
244	0.15806651
245	0.1574465764
246	0.1568851395
247	0.1564053094
248	0.1559516858
249	0.1554603919
250	0.1549835793
251	0.154622408
252	0.1539441461
253	0.1537216072
254	0.1532966248
255	0.1525911361
256	0.1518620245
257	0.1515586335
258	0.151218438
259	0.1504857072
260	0.1503002736
261	0.1493865437
262	0.149060503
263	0.1486555444
264	0.1482599909
265	0.1478476151
266	0.1470718134
267	0.1463870417
268	0.1462151076
269	0.1457700455
270	0.1453266963
271	0.1449194233
272	0.1446518074
273	0.1444185908
274	0.1441291859
275	0.143605961
276	0.1423882744
277	0.141728388
278	0.1411647889
279	0.1405764166
280	0.1401668229
281	0.139466261
282	0.1391087991
283	0.1389612238
284	0.1385702712
285	0.1382581349
286	0.1376487658
287	0.137198111
288	0.1369757766
289	0.1367367829
290	0.1362291367
291	0.1357146438
292	0.1351923598
293	0.1348280503
294	0.1339382373
295	0.1336091619
296	0.1329292871
297	0.1328404596
298	0.132542984
299	0.132296933
